Stock,Loss,TrainingTime,Lookback,LearningRate,HiddenSize,Epochs
NVDA,0.01171,19:50,3,0.0001,4056,6
AMZN,0.00158,21:2,3,0.0001,4056,6
EBAY,0.00135,20:5,3,0.0001,4056,6
Average loss = 0.004880836233496666
NVDA,0.00233,19:39,3,0.001,4056,6
AMZN,0.00251,21:3,3,0.001,4056,6
EBAY,0.00151,20:10,3,0.001,4056,6
Average loss = 0.0021146587658828746
NVDA,0.06565,0:12,3,0.0001,512,7
AMZN,0.00179,0:13,3,0.0001,512,7
EBAY,0.00188,0:13,3,0.0001,512,7
Average loss = 0.023107168320954465
NVDA,0.00453,0:12,3,0.001,512,7
AMZN,0.00163,0:14,3,0.001,512,7
EBAY,0.00128,0:13,3,0.001,512,7
Average loss = 0.0024776742618996647
NVDA,0.04131,1:11,3,0.0001,1024,7
AMZN,0.00160,1:15,3,0.0001,1024,7
EBAY,0.00138,1:11,3,0.0001,1024,7
Average loss = 0.0147638840173992
NVDA,0.00323,1:9,3,0.001,1024,7
AMZN,0.00163,1:15,3,0.001,1024,7
EBAY,0.00212,1:11,3,0.001,1024,7
Average loss = 0.002323449410808583
NVDA,0.02109,4:59,3,0.0001,2048,7
AMZN,0.00157,5:20,3,0.0001,2048,7
EBAY,0.00119,5:2,3,0.0001,2048,7
Average loss = 0.007948539850379651
NVDA,0.00244,4:59,3,0.001,2048,7
AMZN,0.00155,5:30,3,0.001,2048,7
EBAY,0.00161,5:28,3,0.001,2048,7
Average loss = 0.0018670366165072967
NVDA,0.01057,22:59,3,0.0001,4056,7
AMZN,0.00193,24:23,3,0.0001,4056,7
EBAY,0.00118,23:17,3,0.0001,4056,7
Average loss = 0.004557428054977208
NVDA,0.00266,22:51,3,0.001,4056,7
AMZN,0.00223,24:28,3,0.001,4056,7
EBAY,0.00113,23:15,3,0.001,4056,7
Average loss = 0.0020071828408011545
